
Sync-Point 0, Time: 0.015625, Redshift: 63, Systemstep: 0, Dloga: 0, Nsync-grv:    2097152, Nsync-hyd:          0
Sync-Point 38, Time: 0.0182325, Redshift: 53.8471, Systemstep: 7.38995e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 39, Time: 0.0183067, Redshift: 53.6248, Systemstep: 7.42002e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 40, Time: 0.0183812, Redshift: 53.4034, Systemstep: 7.45022e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 41, Time: 0.018456, Redshift: 53.1829, Systemstep: 7.48054e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 42, Time: 0.0185311, Redshift: 52.9633, Systemstep: 7.51098e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 43, Time: 0.0186065, Redshift: 52.7446, Systemstep: 7.54155e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 44, Time: 0.0186823, Redshift: 52.5267, Systemstep: 7.57224e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 45, Time: 0.0187583, Redshift: 52.3098, Systemstep: 7.60306e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 46, Time: 0.0188346, Redshift: 52.0937, Systemstep: 7.634e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 47, Time: 0.0189113, Redshift: 51.8785, Systemstep: 7.66507e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 48, Time: 0.0189882, Redshift: 51.6642, Systemstep: 7.69626e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 49, Time: 0.0190655, Redshift: 51.4507, Systemstep: 7.72758e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

Sync-Point 50, Time: 0.0191431, Redshift: 51.2381, Systemstep: 7.75903e-05, Dloga: 0.00406141, Nsync-grv:    2097152, Nsync-hyd:          0

