Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
05195.png,0.00172351,7.47259,0.345245,8.58297e+08,-0.494916,0.996039,226.439,2.45545,204.272,220.632,5.60636,54852.1
04492.png,0.0110585,6.78399,0.471008,6.28614e+08,-0.561825,0.997339,228.042,2.26396,208.118,298.246,5.24654,117326
04757.png,0.00133393,7.86036,0.265869,1.07896e+09,-0.482123,0.996325,165.438,2.48156,145.969,182.524,5.8523,49986.4
10880.png,0.0415156,7.00115,0.421753,7.27163e+07,-0.516661,0.9959,243.969,2.46738,218.911,152.723,5.25597,45917.9
08705.png,0.000865594,7.85875,0.268127,2.50894e+09,-0.500653,0.99715,139.536,2.37434,123.274,248.141,5.91591,77371.1
09344.png,0.000865804,8.32652,0.196259,2.01575e+09,-0.405485,0.992129,686.663,3.10889,624.538,272.237,5.90626,89167.2
13710.png,0.00422734,8.13638,0.258118,9.21188e+08,-0.445611,0.994882,338.385,2.87852,299.058,236.487,5.8984,79709.9
05710.png,0.000323926,8.73867,0.12413,1.49126e+09,-0.320864,0.980688,304.704,3.23577,252.914,186.46,5.88103,44693.6
16904.png,0.42954,3.18873,0.756134,2.71055e+07,-0.608004,0.967963,233.719,1.3211,226.166,379.162,2.54185,181809
10284.png,0.0128534,7.13582,0.351166,2.77162e+08,-0.455404,0.992013,309.017,2.56736,281.243,229.042,5.21948,72309
04537.png,0.00280088,7.14842,0.51207,1.12838e+09,-0.639877,0.999351,225.973,1.83364,214.147,179.032,5.86149,42815.1
11508.png,0.00401804,7.39878,0.413696,1.38284e+09,-0.582928,0.998769,340.389,2.20181,319.456,273.244,5.85761,97626
13585.png,0.00227999,7.58033,0.254181,8.4055e+08,-0.451473,0.993513,265.546,2.76086,234.632,278.39,5.52288,98634.1
04087.png,0.00246367,7.87767,0.253754,1.24682e+09,-0.483713,0.996446,76.9935,2.51886,60.5015,241.653,5.86,75588.4
00179.png,0.00710896,7.7796,0.265045,6.94375e+08,-0.468716,0.995376,132.497,2.60418,111.54,267.603,5.71522,92665.1
19376.png,0.0282338,7.35771,0.312164,8.07697e+07,-0.411213,0.988044,595.921,3.00067,540.992,141.423,5.23982,40983.9
05705.png,0.000343135,8.57757,0.151398,1.79214e+09,-0.353742,0.986356,210.148,3.01973,172.096,207.078,5.88562,50482.2
07229.png,0.000466027,8.43883,0.164566,2.30377e+09,-0.412404,0.99321,170.655,2.83907,141.11,210.983,5.9989,55284.8
13619.png,0.0298361,7.0656,0.340958,2.06438e+08,-0.472779,0.99323,331.302,2.60498,302.792,277.784,5.18044,102136
19155.png,0.0185498,7.32117,0.297699,5.38584e+07,-0.387651,0.984153,347.498,2.89205,307.437,115.398,5.18456,24557.5
13342.png,0.00745955,7.3938,0.359146,3.99878e+08,-0.543738,0.997844,94.1314,2.20326,82.8082,195.599,5.70442,52080.1
07210.png,0.0300691,5.89238,0.515686,2.0821e+08,-0.54608,0.993651,494.438,2.22482,467.195,322.998,4.62165,129242
07346.png,0.000250742,9.086,0.0879822,6.04131e+09,-0.331878,0.98525,355.856,3.3969,292.478,217.914,6.13327,65890.8
12182.png,0.0569032,6.1421,0.496735,8.4812e+07,-0.547046,0.994786,231.611,2.13707,215.197,199.551,4.71429,76067.1
15382.png,0.000609291,8.4829,0.171417,2.84744e+09,-0.395779,0.991719,286.481,3.01771,246.142,266.482,5.95826,82890
09158.png,0.00242851,7.74754,0.33342,9.84814e+08,-0.47576,0.995708,404.483,2.69361,369.025,197.883,5.72188,65077.8
19083.png,0.000557942,8.42414,0.142258,4.08361e+08,-0.324536,0.979199,284.402,3.13665,238.489,132.557,5.70307,24132.9
07567.png,0.000504102,8.5798,0.12941,1.82351e+09,-0.344187,0.984612,288.441,3.20027,239.543,266.076,5.82201,85536.1
03938.png,0.534648,2.51484,0.810059,2.59713e+07,-0.63281,0.949253,166.924,1.1,162.019,447.988,2.02863,217467
06495.png,0.000527707,8.53025,0.171555,2.82908e+09,-0.382078,0.99031,433.591,3.07213,382.329,284.563,5.95491,97230.5
14601.png,0.0444642,6.87055,0.376678,6.23549e+07,-0.450125,0.990104,212.393,2.59617,185.88,168.801,4.93958,43442.6
09332.png,0.000262251,9.0333,0.0935669,2.81988e+09,-0.303467,0.978329,561.907,3.50769,481.447,243.082,5.99679,71547.5
14170.png,0.00734621,8.25998,0.204117,1.5006e+08,-0.319135,0.976332,637.587,3.41067,557.147,129.968,5.58625,32302.1
03469.png,0.000699044,8.27968,0.220032,7.1279e+08,-0.391052,0.990303,240.384,2.94997,202.685,146.366,5.81822,32808.1
15227.png,0.000833008,8.2459,0.254715,2.66416e+09,-0.449059,0.995413,249.191,2.76557,218.049,226.089,5.99271,63837.2
04816.png,0.00171132,7.48566,0.434662,1.81033e+09,-0.580236,0.998808,164.972,2.21368,149.725,196.398,5.87869,52689
03499.png,0.23066,3.77575,0.732193,5.35472e+07,-0.651528,0.986411,158.372,1.39178,151.545,413.174,3.05839,192680
