Image,Energy,Entropy,InverseDifference,Correlation,InfoMeasureCorrelation1,InfoMeasureCorrelation2,Contrast,DifferenceEntropy,DifferenceVariance,SumAverage,SumEntropy,SumVariance
00578.png,0.000651435,8.06533,0.211334,1.98485e+09,-0.473104,0.996338,184.898,2.55053,162.591,195.957,5.95929,51581.7
13517.png,0.00250094,7.56353,0.345718,1.28289e+09,-0.503455,0.996676,211.939,2.56515,187.197,246.443,5.66459,70294.8
15185.png,0.000426271,8.5086,0.151886,3.38955e+09,-0.394717,0.991713,180.691,2.8754,149.01,268.758,5.9817,80672.1
19893.png,0.000289575,8.47005,0.0897369,1.49223e+09,-0.366947,0.987907,82.1972,2.80802,57.4011,190.725,5.87006,43420.3
10948.png,0.0014258,7.88578,0.266937,2.63657e+09,-0.500148,0.997178,219.037,2.49348,197.315,305.969,5.93261,110428
13259.png,0.000546575,8.16192,0.163986,1.77103e+09,-0.430106,0.993802,71.7872,2.57797,53.97,227.425,5.88282,60185.7
15030.png,0.000375061,8.65549,0.100708,2.64776e+09,-0.327576,0.981618,332.973,3.19214,281.558,320.378,5.8408,109735
04385.png,0.00118512,8.67873,0.148041,2.13855e+09,-0.364247,0.98856,724.175,3.31884,650.665,241.525,5.96422,73818
14378.png,0.000834582,8.01398,0.251083,3.15234e+09,-0.503357,0.997529,261.761,2.50245,238.115,217.943,6.02979,66226.2
17560.png,0.0487159,6.34108,0.464615,1.85039e+08,-0.536973,0.994912,339.21,2.28607,317.009,352.673,4.85119,149311
17802.png,0.00158358,7.83822,0.289871,2.79776e+09,-0.509266,0.997439,387.636,2.5458,358.124,295.525,5.93379,109990
00512.png,0.000325601,8.65087,0.143524,3.7636e+09,-0.392212,0.991986,365.141,3.05584,320.732,229.113,6.05043,68403.6
04176.png,0.00163455,8.2508,0.206238,1.22996e+09,-0.436317,0.994562,254.716,2.83693,220.631,177.995,5.94851,49617.9
05023.png,0.000704751,8.09908,0.163467,1.69088e+09,-0.431706,0.993725,107.693,2.62517,86.9846,221.719,5.84967,60909.3
09097.png,0.00836599,6.93895,0.477661,6.32366e+08,-0.597697,0.998548,296.951,2.14536,277.047,252.61,5.53133,91847.8
03922.png,0.0309424,6.35159,0.515213,7.90474e+07,-0.612059,0.998026,251.77,1.94036,237.583,131.711,5.13807,40009.4
13465.png,0.00103567,7.52063,0.255219,1.88047e+09,-0.55518,0.99833,50.4502,2.03099,42.4234,226.943,5.88638,60123.8
08902.png,0.00111634,7.70442,0.330307,1.83647e+09,-0.535695,0.99807,167.418,2.24054,151.889,192.967,5.93313,48760
17126.png,0.000241053,8.99615,0.0777893,4.61414e+09,-0.321498,0.982539,547.604,3.42139,475.019,250.124,6.03419,80633.1
08848.png,0.000375847,8.49266,0.131744,1.97638e+09,-0.385141,0.990531,174.843,2.90994,142.763,201.36,5.94054,49741.9
03201.png,0.000894475,8.4827,0.175156,3.23725e+09,-0.417501,0.993801,299.737,2.9403,260.702,229.857,6.03197,71377.3
10940.png,0.000596237,8.53052,0.191269,4.69011e+09,-0.410469,0.993351,309.444,2.98524,268.108,262.254,6.03579,81414
14699.png,0.0026739,7.04344,0.316544,1.56335e+08,-0.487829,0.994308,214.079,2.32075,195.073,123.923,5.3379,20780.9
15061.png,0.000512654,8.28949,0.153854,1.52266e+09,-0.39567,0.990898,319.052,2.89464,281.018,249.706,5.83914,71944.7
14832.png,0.000663567,8.1183,0.194916,1.0187e+09,-0.423717,0.9931,173.199,2.70709,147.775,190.911,5.82327,45687.8
14154.png,0.00574143,7.23311,0.34903,6.19332e+08,-0.515414,0.996451,208.037,2.4512,186.879,230.04,5.51361,89745.3
